iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,risk_level
ITA,Europe,Italy,2020-03-12,5883.0,0.0,679.286,233.0,0.0,29.143,98.676,0.0,11.394,3.908,0.0,0.489,2.22,1153.0,19.53,7803.0,132.17,,,10024.0,169.79,86011.0,12857.0,1.452,0.217,7664.0,0.129,0.2098,4.8,tests performed,,,,,,,,,,,,,,82.41,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472,,,,,High
BEL,Europe,Belgium,2020-03-12,316.0,0.0,45.0,0.0,0.0,0.0,27.144,0.0,3.865,0.0,0.0,0.0,2.41,15.0,1.287,64.0,5.491,,,34.0,2.917,8448.0,1438.0,0.728,0.124,862.0,0.074,0.084,11.9,tests performed,,,,,,,,,,,,,,19.44,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,11655923,,,,,Low
SVN,Europe,Slovenia,2020-03-13,20.0,0.0,2.857,0.0,0.0,0.0,9.455,0.0,1.351,0.0,0.0,0.0,,4.0,1.887,22.0,10.378,,,,,5060.0,1197.0,2.387,0.565,616.0,0.291,0.038,26.3,tests performed,,,,,,,,,,,,,,25.0,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25.0,,4.5,81.32,0.917,2119843,,,,,Low
SRB,Europe,Serbia,2020-03-13,1.0,0.0,0.143,0.0,0.0,0.0,0.147,0.0,0.021,0.0,0.0,0.0,,1.0,0.146,21.0,3.056,,,,,239.0,54.0,0.035,0.008,25.0,0.004,0.1943,5.1,people tested,,,,,,,,,,,,,,25.0,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806,6871547,,,,,Low
ITA,Europe,Italy,2020-03-13,5883.0,0.0,679.286,233.0,0.0,29.143,98.676,0.0,11.394,3.908,0.0,0.489,2.14,1328.0,22.494,8754.0,148.279,,,11095.0,187.931,97488.0,11477.0,1.646,0.194,8733.0,0.147,0.2131,4.7,tests performed,,,,,,,,,,,,,,82.41,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472,,,,,High
CYP,Europe,Cyprus,2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,38.89,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007,,,,,Low
BEL,Europe,Belgium,2020-03-13,316.0,0.0,45.0,0.0,0.0,0.0,27.144,0.0,3.865,0.0,0.0,0.0,2.43,26.0,2.231,101.0,8.665,,,95.0,8.15,10972.0,2524.0,0.945,0.217,1063.0,0.092,0.09,11.1,tests performed,,,,,,,,,,,,,,23.15,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,11655923,,,,,Low
SVK,Europe,Slovakia,2020-03-13,3.0,0.0,0.429,0.0,0.0,0.0,0.548,0.0,0.078,0.0,0.0,0.0,,2.0,0.354,11.0,1.949,,,,,950.0,58.0,0.174,0.011,82.0,0.015,0.054,18.5,tests performed,,,,,,,,,,,,,,58.33,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,5643455,,,,,Low
CZE,Europe,Czechia,2020-03-13,27.0,0.0,3.857,0.0,0.0,0.0,2.53,0.0,0.361,0.0,0.0,0.0,,0.0,0.0,4.0,0.381,0.0,0.0,6.0,0.572,,,,,,,,,,,,,,,,,,,,,,,57.41,137.176,43.3,19.027,11.58,32605.906,,227.485,6.82,30.5,38.3,,6.63,79.38,0.9,10493990,,,,,Low
CYP,Europe,Cyprus,2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,38.89,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007,,,,,Low
ITA,Europe,Italy,2020-03-14,5883.0,0.0,679.286,233.0,0.0,29.143,98.676,0.0,11.394,3.908,0.0,0.489,2.06,1518.0,25.712,9890.0,167.521,,,11901.0,201.584,109170.0,11682.0,1.843,0.197,9587.0,0.162,0.2276,4.4,tests performed,,,,,,,,,,,,,,82.41,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472,,,,,High
SVK,Europe,Slovakia,2020-03-14,3.0,0.0,0.429,0.0,0.0,0.0,0.548,0.0,0.078,0.0,0.0,0.0,,2.0,0.354,14.0,2.481,,,,,1147.0,197.0,0.211,0.036,100.0,0.018,0.058,17.2,tests performed,,,,,,,,,,,,,,63.89,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,5643455,,,,,Low
